State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,RANGAREDDI,Arhar/Tur,2003-04,Kharif,35790,Hectare,26306,Tonnes,0.735009779
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2001-02,Kharif,643,Hectare,375,Tonnes,0.583203733
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2001-02,Rabi,108,Hectare,63,Tonnes,0.583333333
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2002-03,Kharif,402,Hectare,141,Tonnes,0.350746269
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2002-03,Rabi,579,Hectare,203,Tonnes,0.350604491
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2003-04,Kharif,2628,Hectare,1112,Tonnes,0.423135464
Andhra Pradesh,SPSR NELLORE,Arhar/Tur,2003-04,Rabi,586,Hectare,248,Tonnes,0.423208191
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,2001-02,Kharif,1395,Hectare,813,Tonnes,0.582795699
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,2002-03,Kharif,1523,Hectare,533,Tonnes,0.34996717
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,2003-04,Kharif,1573,Hectare,665,Tonnes,0.422759059
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2001-02,Kharif,4847,Hectare,1507,Tonnes,0.310913967
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2001-02,Rabi,47,Hectare,15,Tonnes,0.319148936
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2002-03,Kharif,4701,Hectare,1575,Tonnes,0.335035099
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2003-04,Kharif,4274,Hectare,2188,Tonnes,0.511932616
Andhra Pradesh,VISAKHAPATANAM,Arhar/Tur,2003-04,Rabi,6,Hectare,3,Tonnes,0.5
Andhra Pradesh,VIZIANAGARAM,Arhar/Tur,2001-02,Kharif,1313,Hectare,765,Tonnes,0.582635187
Andhra Pradesh,VIZIANAGARAM,Arhar/Tur,2002-03,Kharif,1587,Hectare,555,Tonnes,0.349716446
Andhra Pradesh,VIZIANAGARAM,Arhar/Tur,2003-04,Kharif,1871,Hectare,791,Tonnes,0.422768573
Andhra Pradesh,WARANGAL,Arhar/Tur,2001-02,Kharif,24587,Hectare,13302,Tonnes,0.541017611
